name,address
Citadines Montmartre Paris,16 avenue Rachel
Hotel Monge,55 rue Monge
La Reserve Paris - Hotel and Spa,42 avenue Gabriel
Le 10 Bis Hotel,10 B rue du Debarcadere
Hotel Saint-Marc,36 rue Saint Marc
Hotel La Tamise,4 Rue d'Alger
Maison Souquet,10 Rue de Bruxelles
Le Bristol Paris,112 rue du Faubourg Saint Honore
"Mandarin Oriental, Paris",251 Rue Saint-Honore
Hotel Joke - Astotel,"69, rue Blanche"
Hotel Fabric,31 rue de la Folie Mericourt
Le Royal Monceau-Raffles Paris,37 Avenue Hoche
Le Relais des Halles,"26, rue Pierre Lescot"
Hotel Signature St Germain des Pres,"5, rue Chomel"
Four Seasons Hotel George V Paris,31 Av George V
Hotel Design Secret de Paris,"2, rue de Parme"
Saint James Paris - Relais et Chateaux,43 avenue Bugeaud
Le 123 Sebastopol - Astotel,"123, boulevard de Sebastopol"
Hotel 34B - Astotel,34 rue Bergere
Hotel Le Six,"14, rue Stanislas"
La Maison Favart,"5, Rue de Marivaux"
Hotel Da Vinci,25 rue des Saints Peres
Hotel Ekta,08 52 rue Galilee
Hotel de Londres Eiffel,1 rue Augereau
Hotel Bradford Elysees - Astotel,"10, rue Saint Philippe du Roule"
Shangri-La Hotel Paris,"10, avenue d'Iena"
Hotel Luxembourg Parc,"42, rue de Vaugirard"
Hotel WO - Wilson Opera by Elegancia,10 rue de Stockholm
Hotel HELUSSI,"22 bis, rue de Bellefond"
Grand Hotel du Palais Royal,4 rue de Valois
Hotel Keppler,"10, Rue Keppler"
name,address
Citadines Montmartre Paris,16 avenue Rachel
Hotel Monge,55 rue Monge
La Reserve Paris - Hotel and Spa,42 avenue Gabriel
Le 10 Bis Hotel,10 B rue du Debarcadere
Hotel Saint-Marc,36 rue Saint Marc
Hotel La Tamise,4 Rue d'Alger
Maison Souquet,10 Rue de Bruxelles
Le Bristol Paris,112 rue du Faubourg Saint Honore
"Mandarin Oriental, Paris",251 Rue Saint-Honore
Hotel Joke - Astotel,"69, rue Blanche"
Hotel Fabric,31 rue de la Folie Mericourt
Le Royal Monceau-Raffles Paris,37 Avenue Hoche
Le Relais des Halles,"26, rue Pierre Lescot"
Hotel Signature St Germain des Pres,"5, rue Chomel"
Four Seasons Hotel George V Paris,31 Av George V
Hotel Design Secret de Paris,"2, rue de Parme"
Saint James Paris - Relais et Chateaux,43 avenue Bugeaud
Le 123 Sebastopol - Astotel,"123, boulevard de Sebastopol"
Hotel 34B - Astotel,34 rue Bergere
Hotel Le Six,"14, rue Stanislas"
La Maison Favart,"5, Rue de Marivaux"
Hotel Da Vinci,25 rue des Saints Peres
Hotel Ekta,08 52 rue Galilee
Hotel de Londres Eiffel,1 rue Augereau
Hotel Bradford Elysees - Astotel,"10, rue Saint Philippe du Roule"
Shangri-La Hotel Paris,"10, avenue d'Iena"
Hotel Luxembourg Parc,"42, rue de Vaugirard"
Hotel WO - Wilson Opera by Elegancia,10 rue de Stockholm
Hotel HELUSSI,"22 bis, rue de Bellefond"
Grand Hotel du Palais Royal,4 rue de Valois
Hotel Keppler,"10, Rue Keppler"
Ibis Paris Gare du Nord Chateau Landon,197-199 rue La Fayette
Hotel Barriere Le Fouquet's Paris,46 avenue George V
La Clef Louvre,8 rue Richelieu
Hotel Le Walt,37 avenue de la Motte Picquet
Hotel Exquis by Elegancia,71 rue de Charonne
Park Hyatt Paris - Vendome,5 rue de la Paix
Hotel Plaza Athenee,25 Avenue Montaigne
Relais Christine,3 Rue Christine
Hotel Sainte Beuve,9 rue Sainte Beuve
Le Meurice,228 rue de Rivoli
Prince de Galles Hotel,33 avenue George V
Hotel Ares Paris,7 rue du General de Larminat
Le Robinet d'Or,17 rue Robert Blache
Hidden Hotel by Elegancia,"28, rue de l'Arc de Triomphe"
Hotel d'Aubusson,33 Rue Dauphine
Hotel Augustin - Astotel,9 rue Roy
Hotel Residence Foch,10 rue Marbeau
Terrass'' Hotel by MH,12-14 rue Joseph de Maistre
Hotel Saint Paul Rive Gauche,43 rue Monsieur le Prince
Le Relais Montmartre,6 rue Constance
B Montmartre Hotel,6 rue Lecluse
Le Pavillon de la Reine,28 Place des Vosges
Idol Hotel Paris by Elegancia,16 rue d'Edimbourg
Hotel Le 123 Elysees - Astotel,123 rue du Faubourg Saint Honore
Hotel du Continent,30 rue du Mont Thabor
Hotel d'Orsay - Paris,93 rue de Lille
Hotel De Buci by MH,"22, rue de Buci"
Hotel Paris Bastille Boutet - MGallery Collection,22 Rue Faidherbe
West-End Hotel,7 rue Clement Marot
The Peninsula Paris,19 avenue Kleber
Legend Hotel by Elegancia,151 bis Rue de Rennes
name,address
Citadines Montmartre Paris,16 avenue Rachel
Hotel Monge,55 rue Monge
La Reserve Paris - Hotel and Spa,42 avenue Gabriel
Le 10 Bis Hotel,10 B rue du Debarcadere
Hotel Saint-Marc,36 rue Saint Marc
Hotel La Tamise,4 Rue d'Alger
Maison Souquet,10 Rue de Bruxelles
Le Bristol Paris,112 rue du Faubourg Saint Honore
"Mandarin Oriental, Paris",251 Rue Saint-Honore
Hotel Joke - Astotel,"69, rue Blanche"
Hotel Fabric,31 rue de la Folie Mericourt
Le Royal Monceau-Raffles Paris,37 Avenue Hoche
Le Relais des Halles,"26, rue Pierre Lescot"
Hotel Signature St Germain des Pres,"5, rue Chomel"
Four Seasons Hotel George V Paris,31 Av George V
Hotel Design Secret de Paris,"2, rue de Parme"
Saint James Paris - Relais et Chateaux,43 avenue Bugeaud
Le 123 Sebastopol - Astotel,"123, boulevard de Sebastopol"
Hotel 34B - Astotel,34 rue Bergere
Hotel Le Six,"14, rue Stanislas"
La Maison Favart,"5, Rue de Marivaux"
Hotel Da Vinci,25 rue des Saints Peres
Hotel Ekta,08 52 rue Galilee
Hotel de Londres Eiffel,1 rue Augereau
Hotel Bradford Elysees - Astotel,"10, rue Saint Philippe du Roule"
Shangri-La Hotel Paris,"10, avenue d'Iena"
Hotel Luxembourg Parc,"42, rue de Vaugirard"
Hotel WO - Wilson Opera by Elegancia,10 rue de Stockholm
Hotel HELUSSI,"22 bis, rue de Bellefond"
Grand Hotel du Palais Royal,4 rue de Valois
Hotel Keppler,"10, Rue Keppler"
Ibis Paris Gare du Nord Chateau Landon,197-199 rue La Fayette
Hotel Barriere Le Fouquet's Paris,46 avenue George V
La Clef Louvre,8 rue Richelieu
Hotel Le Walt,37 avenue de la Motte Picquet
Hotel Exquis by Elegancia,71 rue de Charonne
Park Hyatt Paris - Vendome,5 rue de la Paix
Hotel Plaza Athenee,25 Avenue Montaigne
Relais Christine,3 Rue Christine
Hotel Sainte Beuve,9 rue Sainte Beuve
Le Meurice,228 rue de Rivoli
Prince de Galles Hotel,33 avenue George V
Hotel Ares Paris,7 rue du General de Larminat
Le Robinet d'Or,17 rue Robert Blache
Hidden Hotel by Elegancia,"28, rue de l'Arc de Triomphe"
Hotel d'Aubusson,33 Rue Dauphine
Hotel Augustin - Astotel,9 rue Roy
Hotel Residence Foch,10 rue Marbeau
Terrass'' Hotel by MH,12-14 rue Joseph de Maistre
